"","Преглед на неплатени обврски",""
"","","Неплатени обврски до 31.05.2017               (во денари)"
"","Буџетски корисници",""
"","Основен буџет - Буџетска сметка 630","4678200708.0"
"","Сопствени сметки 631-основен буџет","85586197.0"
"","Сопствени сметки 787/788-самофинансирачки активности","161254054.0"
"","Сопствени сметки 786 - заеми","172389190.0"
"","Сопствени сметки 785 - донации","30746783.0"
"","",""
"","Фонд за здравствено осигурување на Македонија","24747000.0"
"","Агенција за вработување","0.0"
"","Фонд за пензиско и инвалидско осигурување на Македонија","4902845.0"
"","",""
"","Локални установи финансирани преку Блок дотации",""
"","Детска и социјална заштита-локални установи","44298518.0"
"","Образование-локални установи","829873367.0"
"","Култура-локални установи","18769031.0"
"","ВКУПНО Буџет на РМ (1)","6050767693.0"
"","",""
"","Јавни здравствени установи (2)","3182517472.0"
"","",""
"","Јавни претпријатија/Друштва основани од РМ (3)","6044274617.0"
"","",""
"","Општини (доставени 80 од 81 општина-без Гостивар) (4)","4607415120.0"
"","",""
"","Локални претпријатија основани од општини (5)","2456434556.0"
"","ВКУПНО (1+2+3+4+5)","22341409458.0"
"","ВКУПНО ВО ЕВРА","363274950.537"
"","",""
"","ЗАБЕЛЕШКА: Прегледот на неплатените обврски е изработен на база на прибрани податоци од буџетски институции, општини, јавни претпријатија и ЈЗУ, предходно побарани од МФ. Од тие причини МФ се оградува од нивната веродостојност",""
